id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_escenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_previo,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero,modalidad_pago_tarjeta
USR_041,458.702,0,458.702,230.885,55.796,329.735,43.054,85.913,0,85.913,"18,73%","9,39%","50,33%","12,16%","0,3136209156",8,Saludable,total
USR_042,1.150.384,0,1.150.384,482.033,295.529,828.400,50.838,271.146,0,271.146,"23,57%","4,42%","41,90%","25,69%","0,5088398505",8,Saludable,total
USR_043,0,486.900,486.900,259.676,0,259.676,0,227.224,261.937,489.161,"46,67%","0,00%","53,33%","0,00%","1,883735886",10,Saludable,sin_deuda
USR_044,1.990.943,0,1.990.943,1.145.895,330.591,1.843.165,366.679,-218.901,1.087.449,868.548,"-10,99%","18,42%","57,56%","16,60%","0,5742185176",7,En Riesgo,total
USR_045,797.926,0,797.926,518.117,278.684,969.291,172.490,-343.855,24.173,-319.682,"-43,09%","21,62%","64,93%","34,93%","-0,4629000285",8,En Riesgo,parcial
USR_046,1.179.189,2.986,1.182.175,655.536,144.789,818.737,18.412,345.026,0,345.026,"29,19%","1,56%","55,45%","12,25%","0,5119475093",8,Saludable,total
USR_047,762.763,0,762.763,461.051,57.135,518.186,0,244.577,568.410,812.987,"32,06%","0,00%","60,44%","7,49%","1,763334208",13,Saludable,sin_deuda
USR_048,1.168.384,241.353,1.409.737,513.185,104.536,641.458,23.737,744.542,498.989,1.243.531,"52,81%","1,68%","36,40%","7,42%","2,316036594",8,Saludable,total
USR_049,1.210.100,0,1.210.100,586.442,458.960,1.577.353,531.951,-899.204,157.739,-741.465,"-74,31%","43,96%","48,46%","37,93%","-0,6629735701",6,En Riesgo,parcial
USR_050,548.142,158.655,706.797,214.677,160.741,461.434,86.016,159.347,143.036,302.383,"22,54%","12,17%","30,37%","22,74%","1,00562035",9,Saludable,total
USR_051,2.459.860,0,2.459.860,980.676,475.477,2.141.639,685.486,-367.265,0,-367.265,"-14,93%","27,87%","39,87%","19,33%","-0,2204257449",6,En Riesgo,total
USR_052,1.530.642,15.711,1.546.353,913.252,516.184,1.459.574,30.138,56.641,177.105,233.746,"3,66%","1,95%","59,06%","33,38%","0,2477723953",7,En Observación,total
USR_053,2.000.612,0,2.000.612,1.393.874,685.288,2.746.213,667.051,-1.412.652,746.952,-665.700,"-70,61%","33,34%","69,67%","34,25%","-0,3230102988",6,En Riesgo,total
USR_054,1.973.574,0,1.973.574,670.366,328.140,1.317.265,318.759,337.550,249.714,587.264,"17,10%","16,15%","33,97%","16,63%","0,5937207128",12,Saludable,total
USR_055,1.173.524,0,1.173.524,540.522,343.568,1.410.955,526.865,-764.296,74.978,-689.318,"-65,13%","44,90%","46,06%","29,28%","-0,6457995085",4,En Riesgo,total
USR_056,2.019.172,0,2.019.172,1.251.944,645.919,2.794.495,896.632,-1.671.955,5.387,-1.666.568,"-82,80%","44,41%","62,00%","31,99%","-0,7756616475",7,En Riesgo,total
USR_057,460.916,0,460.916,175.892,128.654,379.512,74.966,6.438,392.913,399.351,"1,40%","16,26%","38,16%","27,91%","1,59194046",6,En Observación,total
USR_058,454.809,0,454.809,237.426,46.872,489.181,204.883,-239.255,0,-239.255,"-52,61%","45,05%","52,20%","10,31%","-0,5409227486",10,En Riesgo,total
USR_059,0,34.409,34.409,169.175,12.269,198.582,17.138,-181.311,230.333,49.022,"-526,93%","49,81%","491,66%","35,66%","0,2631163687",3,En Riesgo,total
USR_060,803.330,0,803.330,438.935,191.741,630.676,0,172.654,220.955,393.609,"21,49%","0,00%","54,64%","23,87%","0,8967364188",7,Saludable,sin_deuda
USR_061,763.456,0,763.456,286.456,113.652,722.619,322.511,-281.674,210.867,-70.807,"-36,89%","42,24%","37,52%","14,89%","-0,1162739524",6,En Riesgo,total
USR_062,806.397,1.963,808.360,357.419,160.726,618.789,100.644,88.927,367.551,456.478,"11,00%","12,45%","44,22%","19,88%","0,9965397773",7,En Observación,parcial
USR_063,1.488.765,13.408,1.502.173,921.608,94.862,1.449.623,433.153,-380.603,0,-380.603,"-25,34%","28,84%","61,35%","6,31%","-0,2809373757",5,En Riesgo,total
USR_064,784.816,0,784.816,409.431,74.364,510.187,26.392,248.237,1.059.776,1.308.013,"31,63%","3,36%","52,17%","9,48%","3,001248213",10,Saludable,total
USR_065,795.106,0,795.106,240.195,252.797,492.992,0,302.114,352.125,654.239,"38,00%","0,00%","30,21%","31,79%","2,72378276",8,Saludable,sin_deuda
USR_066,1.203.932,0,1.203.932,727.652,60.202,1.389.153,601.299,-786.520,0,-786.520,"-65,33%","49,94%","60,44%","5,00%","-0,5918352144",6,En Riesgo,total
USR_067,467.100,131.215,598.315,187.945,117.149,305.094,0,293.221,74.466,367.687,"49,01%","0,00%","31,41%","19,58%","1,956354253",7,Saludable,sin_deuda
USR_068,1.507.091,82.078,1.589.169,950.790,370.083,1.915.368,594.495,-920.694,0,-920.694,"-57,94%","37,41%","59,83%","23,29%","-0,5958085402",6,En Riesgo,total
USR_069,471.949,0,471.949,179.809,32.622,402.783,190.352,-121.186,143.823,22.637,"-25,68%","40,33%","38,10%","6,91%","0,06115447062",14,En Riesgo,total
USR_070,2.520.080,255.104,2.775.184,1.896.087,1.083.924,4.170.597,1.190.586,-2.585.999,38.097,-2.547.902,"-93,18%","42,90%","68,32%","39,06%","-0,825452518",9,En Riesgo,total
USR_071,1.487.744,62.741,1.550.485,693.340,200.236,893.576,0,656.909,544.053,1.200.962,"42,37%","0,00%","44,72%","12,91%","1,732140076",7,Saludable,sin_deuda
USR_072,495.543,0,495.543,213.466,77.537,350.839,59.836,84.868,452.387,537.255,"17,13%","12,07%","43,08%","15,65%","1,96579242",8,Saludable,parcial
USR_073,42.193,71.631,113.824,190.800,17.800,208.600,0,-94.776,268.196,173.420,"-83,27%","0,00%","167,63%","15,64%","0,9089098532",8,En Riesgo,sin_deuda
USR_074,1.486.187,0,1.486.187,627.530,194.164,821.694,0,664.493,274.257,938.750,"44,71%","0,00%","42,22%","13,06%","1,495944417",12,Saludable,sin_deuda
USR_075,1.457.239,0,1.457.239,948.168,73.614,1.021.782,0,435.457,768.707,1.204.164,"29,88%","0,00%","65,07%","5,05%","1,269990128",10,Saludable,sin_deuda
USR_076,1.464.489,0,1.464.489,1.022.995,447.066,1.470.061,0,-5.572,108.899,103.327,"-0,38%","0,00%","69,85%","30,53%","0,1010044037",11,En Riesgo,sin_deuda
USR_077,1.508.017,0,1.508.017,674.572,585.708,1.532.045,271.765,-295.793,858.103,562.310,"-19,61%","18,02%","44,73%","38,84%","0,5941963592",9,En Riesgo,total
USR_078,511.877,0,511.877,245.416,65.778,511.783,200.589,-200.495,0,-200.495,"-39,17%","39,19%","47,94%","12,85%","-0,4495353191",5,En Riesgo,parcial
USR_079,793.125,85.939,879.064,517.618,247.955,765.573,0,113.491,271.476,384.967,"12,91%","0,00%","58,88%","28,21%","0,7437280002",6,En Observación,sin_deuda
USR_080,499.922,0,499.922,327.188,154.808,560.178,78.182,-138.438,0,-138.438,"-27,69%","15,64%","65,45%","30,97%","-0,3415102252",8,En Riesgo,total
USR_081,2.044.074,0,2.044.074,1.098.113,709.189,1.807.302,0,236.772,148.292,385.064,"11,58%","0,00%","53,72%","34,69%","0,3506597226",6,En Observación,sin_deuda
USR_082,1.182.049,0,1.182.049,539.736,233.951,910.815,137.128,134.106,697.394,831.500,"11,35%","11,60%","45,66%","19,79%","1,228459484",10,En Observación,total
USR_083,787.131,22.643,809.774,376.584,126.346,508.753,5.823,295.198,359.617,654.815,"36,45%","0,72%","46,50%","15,60%","1,712350977",10,Saludable,total
USR_084,492.944,0,492.944,285.044,80.770,554.206,188.392,-249.654,193.460,-56.194,"-50,65%","38,22%","57,82%","16,39%","-0,1186939734",7,En Riesgo,total
USR_085,823.963,0,823.963,248.250,246.709,751.930,256.971,-184.938,453.232,268.294,"-22,44%","31,19%","30,13%","29,94%","0,5310428506",8,En Riesgo,total
USR_086,774.285,0,774.285,424.181,260.061,979.362,295.120,-500.197,2.728.592,2.228.395,"-64,60%","38,12%","54,78%","33,59%","3,098000698",12,En Riesgo,total
USR_087,1.487.626,0,1.487.626,657.824,168.942,826.766,0,660.860,0,660.860,"44,42%","0,00%","44,22%","11,36%","1,004615216",8,Saludable,sin_deuda
USR_088,1.192.808,83.063,1.275.871,788.079,229.439,1.551.546,534.028,-809.703,0,-809.703,"-63,46%","41,86%","61,77%","17,98%","-0,6124337894",8,En Riesgo,total
USR_089,2.038.464,3.409,2.041.873,688.512,746.670,1.435.182,0,606.691,0,606.691,"29,71%","0,00%","33,72%","36,57%","0,8811625651",12,Saludable,sin_deuda
USR_090,1.203.871,0,1.203.871,644.409,400.098,1.383.635,339.128,-518.892,28.144,-490.748,"-43,10%","28,17%","53,53%","33,23%","-0,4989624183",5,En Riesgo,parcial
USR_091,469.198,117.013,586.211,288.644,231.378,703.100,183.078,-299.967,0,-299.967,"-51,17%","31,23%","49,24%","39,47%","-0,6358978381",6,En Riesgo,parcial
USR_092,1.469.758,150.555,1.620.313,902.401,508.757,2.111.484,700.326,-1.191.497,271.240,-920.257,"-73,53%","43,22%","55,69%","31,40%","-0,5741820035",9,En Riesgo,total
USR_093,1.465.254,44.738,1.509.992,492.169,283.302,775.471,0,734.521,123.997,858.518,"48,64%","0,00%","32,59%","18,76%","1,744356105",8,Saludable,sin_deuda
USR_094,1.194.238,0,1.194.238,635.327,306.589,1.288.813,346.897,-441.472,0,-441.472,"-36,97%","29,05%","53,20%","25,67%","-0,4494616299",13,En Riesgo,total
USR_095,1.451.252,0,1.451.252,761.318,408.317,1.169.635,0,281.617,1.232.561,1.514.178,"19,41%","0,00%","52,46%","28,14%","1,988890319",5,Saludable,sin_deuda
USR_096,1.189.764,0,1.189.764,623.750,92.159,1.166.074,450.165,-426.475,928.563,502.088,"-35,85%","37,84%","52,43%","7,75%","0,4675304843",8,En Riesgo,total
USR_097,1.227.709,111.884,1.339.593,725.249,322.271,1.047.520,0,292.073,0,292.073,"21,80%","0,00%","54,14%","24,06%","0,4027209965",4,Saludable,sin_deuda
USR_098,787.441,0,787.441,449.304,234.864,684.168,0,103.273,91.850,195.123,"13,12%","0,00%","57,06%","29,83%","0,4342783505",3,En Observación,sin_deuda
USR_099,42.234,0,42.234,177.896,4.585,190.700,8.219,-156.685,64.123,-92.562,"-370,99%","19,46%","421,22%","10,86%","-0,4973376676",13,En Riesgo,total
USR_100,503.682,0,503.682,205.466,162.801,425.907,57.640,20.135,34.999,55.134,"4,00%","11,44%","40,79%","32,32%","0,2095505234",6,En Observación,total
USR_101,9.494,368.533,378.027,238.164,96.140,334.304,0,43.723,643.730,687.453,"11,57%","0,00%","63,00%","25,43%","2,886468988",7,En Observación,sin_deuda
USR_102,1.231.317,0,1.231.317,614.799,471.936,1.086.735,0,144.582,1.321.187,1.465.769,"11,74%","0,00%","49,93%","38,33%","2,384143435",10,En Observación,sin_deuda
USR_103,815.215,128.886,944.101,312.331,61.223,812.155,438.601,-306.655,281.530,-25.125,"-32,48%","46,46%","33,08%","6,48%","-0,03345842233",7,En Riesgo,total
USR_104,1.228.587,48.042,1.276.629,412.888,182.385,813.516,218.243,244.870,0,244.870,"19,18%","17,10%","32,34%","14,29%","0,3879860124",8,Saludable,total
USR_105,1.956.949,0,1.956.949,848.720,509.871,1.874.910,516.319,-434.280,359.123,-75.157,"-22,19%","26,38%","43,37%","26,05%","-0,05505850016",8,En Riesgo,total
USR_106,805.393,158.083,963.476,591.535,148.179,739.714,0,223.762,214.494,438.256,"23,22%","0,00%","61,40%","15,38%","0,7408792379",7,Saludable,sin_deuda
USR_107,823.553,0,823.553,480.191,247.106,727.297,0,96.256,0,96.256,"11,69%","0,00%","58,31%","30,00%","0,2004535695",8,En Observación,sin_deuda
USR_108,1.456.941,34.680,1.491.621,918.012,470.833,1.388.845,0,102.776,485.546,588.322,"6,89%","0,00%","61,54%","31,57%","0,640865261",8,En Observación,sin_deuda
USR_109,775.934,0,775.934,393.327,66.638,459.965,0,315.969,634.199,950.168,"40,72%","0,00%","50,69%","8,59%","2,415720253",9,Saludable,sin_deuda
USR_110,473.386,22.081,495.467,235.882,113.883,549.045,199.280,-252.858,58.606,-194.252,"-51,03%","40,22%","47,61%","22,98%","-0,44639008",6,En Riesgo,parcial
USR_111,811.886,345.416,1.157.302,415.449,263.994,1.093.236,413.793,-349.727,18.120,-331.607,"-30,22%","35,75%","35,90%","22,81%","-0,3998917083",8,En Riesgo,parcial
USR_112,525.745,310.590,836.335,360.692,149.912,510.604,0,325.731,2.586.310,2.912.041,"38,95%","0,00%","43,13%","17,92%","8,073483748",11,Saludable,sin_deuda
USR_113,2.033.251,136.477,2.169.728,1.027.600,816.954,1.844.554,0,325.174,132.457,457.631,"14,99%","0,00%","47,36%","37,65%","0,4453396263",12,En Observación,sin_deuda
USR_114,1.544.456,0,1.544.456,518.073,524.539,1.042.612,0,501.844,27.667,529.511,"32,49%","0,00%","33,54%","33,96%","1,02207797",7,Saludable,sin_deuda
USR_115,1.203.413,164.060,1.367.473,530.914,402.069,1.394.359,461.376,-488.262,105.284,-382.978,"-35,71%","33,74%","38,82%","29,40%","-0,3859537031",9,En Riesgo,parcial
USR_116,2.006.800,28.923,2.035.723,1.097.845,610.746,2.398.224,689.633,-1.052.134,19.869,-1.032.265,"-51,68%","33,88%","53,93%","30,00%","-0,5774980168",6,En Riesgo,total
USR_117,1.547.239,0,1.547.239,919.470,327.397,1.246.867,0,300.372,248.635,549.007,"19,41%","0,00%","59,43%","21,16%","0,5970907153",9,Saludable,sin_deuda
USR_118,492.318,0,492.318,344.297,183.314,527.611,0,-35.293,810.760,775.467,"-7,17%","0,00%","69,93%","37,23%","2,252319945",5,En Riesgo,sin_deuda
USR_119,2.020.173,72.467,2.092.640,1.408.860,613.370,2.197.339,175.109,-279.808,208.701,-71.107,"-13,37%","8,37%","67,32%","29,31%","-0,04489166139",13,En Riesgo,total
USR_120,1.220.390,109.758,1.330.148,740.927,405.886,1.479.589,332.776,-482.217,293.658,-188.559,"-36,25%","25,02%","55,70%","30,51%","-0,1756156032",12,En Riesgo,total
USR_121,1.502.329,7.216,1.509.545,707.221,530.744,1.759.425,521.460,-771.340,562.869,-208.471,"-51,10%","34,54%","46,85%","35,16%","-0,1696705654",8,En Riesgo,total
USR_122,1.993.088,0,1.993.088,1.105.109,290.841,1.395.950,0,597.138,0,597.138,"29,96%","0,00%","55,45%","14,59%","0,5403430793",8,Saludable,sin_deuda
USR_123,789.811,200.931,990.742,608.574,329.397,937.971,0,52.771,988.246,1.041.017,"5,33%","0,00%","61,43%","33,25%","1,710584087",5,En Observación,sin_deuda
USR_124,505.479,0,505.479,175.570,59.815,304.961,69.576,130.942,1.005.091,1.136.033,"25,90%","13,76%","34,73%","11,83%","4,634107838",9,Saludable,total
USR_125,835.392,138.630,974.022,451.909,166.431,618.340,0,355.682,0,355.682,"36,52%","0,00%","46,40%","17,09%","0,7870655375",3,Saludable,sin_deuda
USR_126,837.369,0,837.369,532.500,140.229,672.729,0,164.640,752.643,917.283,"19,66%","0,00%","63,59%","16,75%","1,722597183",8,Saludable,sin_deuda
USR_127,1.469.963,73.971,1.543.934,700.225,605.969,1.768.835,462.641,-687.542,308.773,-378.769,"-44,53%","29,97%","45,35%","39,25%","-0,3257202464",10,En Riesgo,parcial
USR_128,2.005.123,51.098,2.056.221,1.087.225,719.241,1.806.466,0,249.755,2.247.734,2.497.489,"12,15%","0,00%","52,87%","34,98%","2,297122491",8,En Observación,sin_deuda
USR_129,42.705,0,42.705,140.262,12.615,167.933,15.056,-140.284,0,-140.284,"-328,50%","35,26%","328,44%","29,54%","-0,9032050374",13,En Riesgo,total
USR_130,1.223.477,190.435,1.413.912,528.507,430.494,959.001,0,454.911,2.167.417,2.622.328,"32,17%","0,00%","37,38%","30,45%","4,96176588",3,Saludable,sin_deuda
USR_131,764.388,0,764.388,340.072,188.594,528.666,0,235.722,702.370,938.092,"30,84%","0,00%","44,49%","24,67%","2,758509963",9,Saludable,sin_deuda
USR_132,755.569,125.347,880.916,382.145,336.053,1.087.023,368.825,-574.932,0,-574.932,"-65,27%","41,87%","43,38%","38,15%","-0,7655858423",4,En Riesgo,total
USR_133,519.836,96.954,616.790,191.500,137.970,329.470,0,287.320,386.523,673.843,"46,58%","0,00%","31,05%","22,37%","3,518762402",12,Saludable,sin_deuda
USR_134,786.586,0,786.586,243.587,144.088,395.205,7.530,383.851,2.422.707,2.806.558,"48,80%","0,96%","30,97%","18,32%","11,17629631",8,Saludable,total
USR_135,1.962.015,414.288,2.376.303,1.503.437,254.413,2.683.542,925.692,-1.232.931,0,-1.232.931,"-51,88%","38,96%","63,27%","10,71%","-0,5075609406",6,En Riesgo,total
USR_136,795.002,197.836,992.838,406.297,322.843,729.140,0,263.698,51.220,314.918,"26,56%","0,00%","40,92%","32,52%","0,7750930969",8,Saludable,sin_deuda
USR_137,1.156.254,0,1.156.254,586.488,355.034,1.346.003,404.481,-594.230,612.721,18.491,"-51,39%","34,98%","50,72%","30,71%","0,01865951407",8,En Riesgo,total
USR_138,1.467.144,0,1.467.144,615.453,270.724,886.177,0,580.967,212.003,792.970,"39,60%","0,00%","41,95%","18,45%","1,288433073",7,Saludable,sin_deuda
USR_139,774.214,45.625,819.839,554.434,48.221,931.743,329.088,-440.992,0,-440.992,"-53,79%","40,14%","67,63%","5,88%","-0,4991296199",9,En Riesgo,total
USR_140,2.530.719,135.609,2.666.328,1.076.446,916.281,1.992.727,0,673.601,0,673.601,"25,26%","0,00%","40,37%","34,36%","0,6257638562",9,Saludable,sin_deuda
USR_141,2.521.774,7.919,2.529.693,1.193.668,136.594,2.008.138,677.876,-156.321,0,-156.321,"-6,18%","26,80%","47,19%","5,40%","-0,08352515356",6,En Riesgo,total
USR_142,756.090,102.886,858.976,557.555,254.510,812.065,0,46.911,854.268,901.179,"5,46%","0,00%","64,91%","29,63%","1,616305118",5,En Observación,sin_deuda
USR_143,1.161.637,0,1.161.637,739.700,452.562,1.425.686,233.424,-497.473,205.740,-291.733,"-42,83%","20,09%","63,68%","38,96%","-0,2997901603",7,En Riesgo,total
USR_144,772.415,61.025,833.440,312.074,169.340,545.460,64.046,223.934,0,223.934,"26,87%","7,68%","37,44%","20,32%","0,5953791343",8,Saludable,parcial
USR_145,774.071,0,774.071,480.742,102.364,804.725,221.619,-252.273,0,-252.273,"-32,59%","28,63%","62,11%","13,22%","-0,3591785421",8,En Riesgo,total
USR_146,8.243,0,8.243,288.808,2.446,291.254,0,-283.011,183.954,-99.057,"-3433,35%","0,00%","3503,68%","29,67%","-0,3429856514",7,En Riesgo,sin_deuda
USR_147,1.191.240,0,1.191.240,587.505,400.251,987.756,0,203.484,137.986,341.470,"17,08%","0,00%","49,32%","33,60%","0,5812205854",8,Saludable,sin_deuda
USR_148,1.233.807,0,1.233.807,436.018,297.657,1.093.447,359.772,-219.412,133.004,-86.408,"-17,78%","29,16%","35,34%","24,13%","-0,1085814097",5,En Riesgo,parcial
USR_149,483.434,0,483.434,160.616,187.796,491.712,143.300,-151.578,35.311,-116.267,"-31,35%","29,64%","33,22%","38,85%","-0,382562945",12,En Riesgo,total
USR_150,819.724,0,819.724,484.601,55.810,540.411,0,279.313,103.589,382.902,"34,07%","0,00%","59,12%","6,81%","0,7901386914",7,Saludable,sin_deuda
USR_151,2.025.697,85.594,2.111.291,1.052.657,478.584,1.586.123,54.882,470.286,0,470.286,"22,27%","2,60%","49,86%","22,67%","0,4246225189",10,Saludable,total
USR_152,778.732,0,778.732,369.695,234.756,604.451,0,174.281,172.205,346.486,"22,38%","0,00%","47,47%","30,15%","0,9372212229",5,Saludable,sin_deuda
USR_153,461.314,0,461.314,273.007,162.348,533.000,97.645,-169.331,270.123,100.792,"-36,71%","21,17%","59,18%","35,19%","0,2719316232",8,En Riesgo,total
USR_154,1.173.954,0,1.173.954,711.657,132.351,844.008,0,329.946,236.498,566.444,"28,11%","0,00%","60,62%","11,27%","0,7959508583",6,Saludable,sin_deuda
