id_cliente,nombre_tienda,subcategoria,monto,metodo_pago,esencial,categoria_principal
USR_495,AFIP,impuestos,50967.86,efectivo,TRUE,Finanzas
USR_498,Administracion Lopez,alquiler_y_expensas,79119.11,tarjeta_credito,TRUE,Hogar
USR_117,Lubricentro,mantenimiento_vehicular,102889.82,saldo_billetera,TRUE,Transporte
USR_466,Hospital Italiano,atencion_medica,85439.26,saldo_billetera,TRUE,Salud
USR_147,Laboratorio,atencion_medica,21111.86,saldo_billetera,TRUE,Salud
USR_478,Amazon Prime,suscripciones_digitales,45461.11,efectivo,FALSE,Entretenimiento
USR_163,Hospital Italiano,atencion_medica,88584,tarjeta_debito,TRUE,Salud
USR_401,Cabify,taxi_y_apps,4995.97,efectivo,FALSE,Transporte
USR_076,Laboratorio,atencion_medica,49290.18,saldo_billetera,TRUE,Salud
USR_452,Ferreteria El Clavo,mantenimiento_y_muebles,34398.7,saldo_billetera,FALSE,Hogar
USR_368,Levis,indumentaria,43634.14,efectivo,FALSE,Entretenimiento
USR_106,HBO Max,suscripciones_digitales,119578.43,efectivo,FALSE,Entretenimiento
USR_274,AUSA Peajes,peajes,19037.14,transferencia,TRUE,Transporte
USR_337,HBO Max,suscripciones_digitales,34249.28,tarjeta_debito,FALSE,Entretenimiento
USR_005,Laboratorio,atencion_medica,73111.59,transferencia,TRUE,Salud
USR_141,Chino El Sol,supermercado,22758.89,tarjeta_credito,TRUE,Alimentacion
USR_473,Granja San Jose,carniceria_y_granja,49454.08,efectivo,TRUE,Alimentacion
USR_134,Transferencia a Juan,transferencias,25381.55,tarjeta_debito,FALSE,Finanzas
USR_258,Peluqueria Estilos,cuidado_personal,22105.98,tarjeta_debito,FALSE,Entretenimiento
USR_349,Laboratorio,atencion_medica,64356.57,tarjeta_credito,TRUE,Salud
USR_077,Canchas de Futbol,hobbies_y_deportes,50164.18,saldo_billetera,FALSE,Entretenimiento
USR_037,Burger King,restaurante,58586.74,tarjeta_credito,FALSE,Alimentacion
USR_245,Centro Medico,atencion_medica,91883.52,tarjeta_debito,TRUE,Salud
USR_298,Farmacia Dr Ahorro,farmacia,39501.56,saldo_billetera,TRUE,Salud
USR_349,ARBA,impuestos,31865.38,efectivo,TRUE,Finanzas
USR_241,Peluqueria Estilos,cuidado_personal,6888.25,tarjeta_credito,FALSE,Entretenimiento
USR_490,Spotify,suscripciones_digitales,78488.37,tarjeta_credito,FALSE,Entretenimiento
USR_009,Mastercard,pago_tarjetas,48733.65,tarjeta_debito,TRUE,Finanzas
USR_411,Carrefour,supermercado,14146.9,transferencia,TRUE,Alimentacion
USR_458,Inmobiliaria Sur,alquiler_y_expensas,79087.56,efectivo,TRUE,Hogar
USR_051,Burger King,restaurante,54255.61,transferencia,FALSE,Alimentacion
USR_464,Nike,indumentaria,3698.74,tarjeta_debito,FALSE,Entretenimiento
USR_091,Sodimac,mantenimiento_y_muebles,52498.31,efectivo,FALSE,Hogar
USR_353,ARBA,impuestos,21668.6,tarjeta_debito,TRUE,Finanzas
USR_107,Burger King,restaurante,23119.04,transferencia,FALSE,Alimentacion
USR_131,HBO Max,suscripciones_digitales,80651.45,saldo_billetera,FALSE,Entretenimiento
USR_106,Steam Games,hobbies_y_deportes,114614.81,efectivo,FALSE,Entretenimiento
USR_420,Amazon Prime,suscripciones_digitales,114507.54,saldo_billetera,FALSE,Entretenimiento
USR_056,Taxi Premium,taxi_y_apps,108277.47,tarjeta_debito,FALSE,Transporte
USR_094,Metrovias,transporte_publico,40930.13,efectivo,TRUE,Transporte
USR_216,Administracion Lopez,alquiler_y_expensas,104203.42,efectivo,TRUE,Hogar
USR_022,Visa Pago Tarjeta,pago_tarjetas,27028.63,tarjeta_credito,TRUE,Finanzas
USR_193,Centro Medico,atencion_medica,49832.12,saldo_billetera,TRUE,Salud
USR_311,Swiss Medical,cobertura_medica,51132.04,tarjeta_credito,TRUE,Salud
USR_300,Burger King,restaurante,81616.43,saldo_billetera,FALSE,Alimentacion
USR_460,YPF,combustible,114815.78,saldo_billetera,TRUE,Transporte
USR_036,Shell,combustible,109219.84,tarjeta_credito,TRUE,Transporte
USR_221,Telepase,peajes,26915.78,transferencia,TRUE,Transporte
USR_153,Barberia,cuidado_personal,93714.61,efectivo,FALSE,Entretenimiento
USR_424,Steam Games,hobbies_y_deportes,75850.95,saldo_billetera,FALSE,Entretenimiento
USR_042,Zara,indumentaria,66104.96,tarjeta_debito,FALSE,Entretenimiento
USR_218,PedidosYa,delivery,115544.27,tarjeta_debito,FALSE,Alimentacion
USR_023,Canchas de Futbol,hobbies_y_deportes,57192.7,tarjeta_debito,FALSE,Entretenimiento
USR_175,Movistar,servicios_basicos,71042.08,efectivo,TRUE,Hogar
USR_417,Farmacity,farmacia,82672.14,tarjeta_debito,TRUE,Salud
USR_397,Shell,combustible,119352.83,transferencia,TRUE,Transporte
USR_323,Galeno,cobertura_medica,10021.81,tarjeta_credito,TRUE,Salud
USR_379,Transferencia a Juan,transferencias,34578.34,tarjeta_credito,FALSE,Finanzas
USR_054,Carniceria Los Hermanos,carniceria_y_granja,36837.93,transferencia,TRUE,Alimentacion
USR_035,Montagne,hobbies_y_deportes,103194.03,efectivo,FALSE,Entretenimiento
USR_278,PedidosYa,delivery,119089.58,tarjeta_credito,FALSE,Alimentacion
USR_258,Centro de Estetica,cuidado_personal,89013.05,transferencia,FALSE,Entretenimiento
USR_146,AySA,servicios_basicos,101959.16,tarjeta_debito,TRUE,Hogar
USR_482,MercadoPago Transferencia,transferencias,26614.61,tarjeta_debito,FALSE,Finanzas
USR_033,Transferencia a Juan,transferencias,24039.53,transferencia,FALSE,Finanzas
USR_405,Galeno,cobertura_medica,56173.4,tarjeta_credito,TRUE,Salud
USR_429,Granja San Jose,carniceria_y_granja,35913.59,tarjeta_credito,TRUE,Alimentacion
USR_242,AFIP,impuestos,54368.26,efectivo,TRUE,Finanzas
USR_434,Carga SUBE,transporte_publico,76714.43,saldo_billetera,TRUE,Transporte
USR_250,Inmobiliaria Sur,alquiler_y_expensas,75725.46,transferencia,TRUE,Hogar
USR_034,AUSA Peajes,peajes,27575.98,tarjeta_debito,TRUE,Transporte
USR_201,Personal Flow,servicios_basicos,5292.92,tarjeta_credito,TRUE,Hogar
USR_221,Farmacity,farmacia,46344.36,tarjeta_debito,TRUE,Salud
USR_203,Swiss Medical,cobertura_medica,63190.88,tarjeta_debito,TRUE,Salud
USR_473,PedidosYa,delivery,103512.99,efectivo,FALSE,Alimentacion
USR_162,Consorcio Edificio,alquiler_y_expensas,97310.91,transferencia,TRUE,Hogar
USR_442,Mastercard,pago_tarjetas,23964.22,tarjeta_credito,TRUE,Finanzas
USR_292,Lubricentro,mantenimiento_vehicular,74518.63,tarjeta_credito,TRUE,Transporte
USR_416,Administracion Lopez,alquiler_y_expensas,73170.3,efectivo,TRUE,Hogar
USR_114,Barberia,cuidado_personal,70815.97,transferencia,FALSE,Entretenimiento
USR_088,Chino El Sol,supermercado,20424.21,tarjeta_debito,TRUE,Alimentacion
USR_446,PedidosYa,delivery,24900.07,tarjeta_debito,FALSE,Alimentacion
USR_058,Shell,combustible,26137.07,transferencia,TRUE,Transporte
USR_034,Inmobiliaria Sur,alquiler_y_expensas,5499.83,transferencia,TRUE,Hogar
USR_346,Shell,combustible,82971.38,transferencia,TRUE,Transporte
USR_481,Ferreteria El Clavo,mantenimiento_y_muebles,104896.07,efectivo,FALSE,Hogar
USR_424,Laboratorio,atencion_medica,61780.67,saldo_billetera,TRUE,Salud
USR_155,Movistar,servicios_basicos,85740.51,saldo_billetera,TRUE,Hogar
USR_258,AGIP,impuestos,46372.51,tarjeta_debito,TRUE,Finanzas
USR_348,Farmacia Dr Ahorro,farmacia,115970.15,efectivo,TRUE,Salud
USR_038,Mastercard,pago_tarjetas,9333.17,tarjeta_debito,TRUE,Finanzas
USR_433,Personal Flow,servicios_basicos,67589.19,tarjeta_credito,TRUE,Hogar
USR_449,Vantage,farmacia,10755.41,saldo_billetera,TRUE,Salud
USR_149,Taller Mecanico,mantenimiento_vehicular,31539.39,tarjeta_debito,TRUE,Transporte
USR_287,AGIP,impuestos,33893.55,transferencia,TRUE,Finanzas
USR_256,Farmacia Dr Ahorro,farmacia,24026.94,efectivo,TRUE,Salud
USR_006,YPF,combustible,65702.09,saldo_billetera,TRUE,Transporte
USR_263,Zara,indumentaria,25732.55,tarjeta_credito,FALSE,Entretenimiento
USR_362,Transferencia a Juan,transferencias,31252.7,tarjeta_debito,FALSE,Finanzas
USR_291,Farmacity,farmacia,14132.89,saldo_billetera,TRUE,Salud
USR_469,Spotify,suscripciones_digitales,98991.25,tarjeta_credito,FALSE,Entretenimiento
USR_308,Spotify,suscripciones_digitales,20490.47,transferencia,FALSE,Entretenimiento
USR_306,Laboratorio,atencion_medica,91515.7,transferencia,TRUE,Salud
USR_319,YPF,combustible,14833.44,tarjeta_debito,TRUE,Transporte
USR_377,Laboratorio,atencion_medica,11729.49,transferencia,TRUE,Salud
USR_048,PedidosYa,delivery,73659.99,tarjeta_credito,FALSE,Alimentacion
USR_367,Movistar,servicios_basicos,49527.77,tarjeta_credito,TRUE,Hogar
USR_266,Mastercard,pago_tarjetas,61001.71,saldo_billetera,TRUE,Finanzas
USR_222,Administracion Lopez,alquiler_y_expensas,111774.2,tarjeta_debito,TRUE,Hogar
USR_273,Metrovias,transporte_publico,118311.04,tarjeta_credito,TRUE,Transporte
USR_095,YPF,combustible,48608.6,tarjeta_credito,TRUE,Transporte
USR_453,Visa Pago Tarjeta,pago_tarjetas,94620.21,tarjeta_credito,TRUE,Finanzas
USR_492,Swiss Medical,cobertura_medica,94324.42,transferencia,TRUE,Salud
USR_481,MercadoPago Transferencia,transferencias,35012.71,tarjeta_debito,FALSE,Finanzas
USR_439,Zara,indumentaria,22251.92,transferencia,FALSE,Entretenimiento
USR_234,Inmobiliaria Sur,alquiler_y_expensas,107490.41,tarjeta_credito,TRUE,Hogar
USR_136,Barberia,cuidado_personal,112280.53,saldo_billetera,FALSE,Entretenimiento
USR_046,Neumaticos,mantenimiento_vehicular,59931.1,tarjeta_credito,TRUE,Transporte
USR_376,Farmacia Dr Ahorro,farmacia,67993.64,saldo_billetera,TRUE,Salud
USR_446,Galeno,cobertura_medica,60131.82,saldo_billetera,TRUE,Salud
USR_047,Carga SUBE,transporte_publico,27246.12,tarjeta_credito,TRUE,Transporte
USR_446,Administracion Lopez,alquiler_y_expensas,117683.54,saldo_billetera,TRUE,Hogar
USR_479,Rappi,delivery,119703.85,efectivo,FALSE,Alimentacion
USR_171,YPF,combustible,61192.55,tarjeta_debito,TRUE,Transporte
USR_448,Centro Medico,atencion_medica,39536.76,tarjeta_credito,TRUE,Salud
USR_012,Vantage,farmacia,101800.46,tarjeta_debito,TRUE,Salud
USR_497,Sodimac,mantenimiento_y_muebles,56757.51,saldo_billetera,FALSE,Hogar
USR_247,AUSA Peajes,peajes,23459.29,transferencia,TRUE,Transporte
USR_154,PedidosYa,delivery,92724.99,efectivo,FALSE,Alimentacion
USR_289,MercadoPago Transferencia,transferencias,79547.53,tarjeta_debito,FALSE,Finanzas
USR_322,Envio de dinero,transferencias,37008.09,tarjeta_credito,FALSE,Finanzas
USR_013,Farmacity,farmacia,102700.41,saldo_billetera,TRUE,Salud
USR_245,Antares,restaurante,30788.44,transferencia,FALSE,Alimentacion
USR_025,Adidas,indumentaria,48501.31,transferencia,FALSE,Entretenimiento
USR_165,MercadoPago Transferencia,transferencias,8928.24,tarjeta_credito,FALSE,Finanzas
USR_451,Amex,pago_tarjetas,24832.66,saldo_billetera,TRUE,Finanzas
USR_368,Envio de dinero,transferencias,52428.49,transferencia,FALSE,Finanzas
USR_017,Burger King,restaurante,30498.4,transferencia,FALSE,Alimentacion
USR_248,Hospital Italiano,atencion_medica,40335.29,tarjeta_debito,TRUE,Salud
USR_095,HBO Max,suscripciones_digitales,16272.14,tarjeta_debito,FALSE,Entretenimiento
USR_203,Amazon Prime,suscripciones_digitales,59825.72,efectivo,FALSE,Entretenimiento
USR_017,OSDE,cobertura_medica,109077.07,tarjeta_credito,TRUE,Salud
USR_104,AGIP,impuestos,92628.29,saldo_billetera,TRUE,Finanzas
USR_176,Inmobiliaria Sur,alquiler_y_expensas,10130.42,tarjeta_debito,TRUE,Hogar
USR_347,Canchas de Futbol,hobbies_y_deportes,4053.15,tarjeta_credito,FALSE,Entretenimiento
USR_304,Movistar,servicios_basicos,56699.12,saldo_billetera,TRUE,Hogar
USR_351,Transferencia a Juan,transferencias,95314.84,transferencia,FALSE,Finanzas
USR_063,Vantage,farmacia,63220.78,efectivo,TRUE,Salud
USR_340,AGIP,impuestos,98767.18,tarjeta_debito,TRUE,Finanzas
USR_190,Carrefour,supermercado,74759.97,transferencia,TRUE,Alimentacion
USR_190,Amazon Prime,suscripciones_digitales,19589.35,saldo_billetera,FALSE,Entretenimiento
USR_379,Steam Games,hobbies_y_deportes,98068.79,efectivo,FALSE,Entretenimiento
USR_228,Consorcio Edificio,alquiler_y_expensas,22278.78,tarjeta_credito,TRUE,Hogar
USR_281,Nike,indumentaria,106453.94,tarjeta_debito,FALSE,Entretenimiento
USR_398,Laboratorio,atencion_medica,89905.2,transferencia,TRUE,Salud
USR_481,Laboratorio,atencion_medica,93627.69,tarjeta_debito,TRUE,Salud
USR_175,MercadoPago Transferencia,transferencias,84044.66,saldo_billetera,FALSE,Finanzas
USR_088,Envio de dinero,transferencias,88824.72,tarjeta_credito,FALSE,Finanzas
USR_169,Inmobiliaria Sur,alquiler_y_expensas,53709.42,transferencia,TRUE,Hogar
USR_296,Centro de Estetica,cuidado_personal,83941.12,saldo_billetera,FALSE,Entretenimiento
USR_476,Vantage,farmacia,47896.08,saldo_billetera,TRUE,Salud
USR_428,ARBA,impuestos,33857.61,efectivo,TRUE,Finanzas
USR_461,Galeno,cobertura_medica,45091.27,tarjeta_debito,TRUE,Salud
USR_271,AySA,servicios_basicos,86840.15,efectivo,TRUE,Hogar
USR_491,Metrogas,servicios_basicos,28463.97,tarjeta_debito,TRUE,Hogar
USR_263,Edenor,servicios_basicos,105626.11,saldo_billetera,TRUE,Hogar
USR_131,Galeno,cobertura_medica,4122.37,saldo_billetera,TRUE,Salud
USR_450,AUSA Peajes,peajes,119811.14,transferencia,TRUE,Transporte
USR_160,Visa Pago Tarjeta,pago_tarjetas,25089.16,tarjeta_debito,TRUE,Finanzas
USR_264,Envio de dinero,transferencias,119640.44,tarjeta_debito,FALSE,Finanzas
USR_126,AFIP,impuestos,46612.46,tarjeta_debito,TRUE,Finanzas
USR_408,Trenes Argentinos,transporte_publico,99893.22,efectivo,TRUE,Transporte
USR_006,Metrovias,transporte_publico,55434.48,saldo_billetera,TRUE,Transporte
USR_244,Rappi,delivery,109412.62,saldo_billetera,FALSE,Alimentacion
USR_417,Galeno,cobertura_medica,99933.86,tarjeta_debito,TRUE,Salud
USR_266,Zara,indumentaria,97026.34,transferencia,FALSE,Entretenimiento
USR_373,Canchas de Futbol,hobbies_y_deportes,115552.36,saldo_billetera,FALSE,Entretenimiento
USR_204,Edenor,servicios_basicos,17492.36,tarjeta_credito,TRUE,Hogar
USR_325,Sodimac,mantenimiento_y_muebles,5590.96,saldo_billetera,FALSE,Hogar
USR_058,Amazon Prime,suscripciones_digitales,113241.83,efectivo,FALSE,Entretenimiento
USR_025,Netflix,suscripciones_digitales,92561.44,tarjeta_credito,FALSE,Entretenimiento
USR_235,Amex,pago_tarjetas,1065.12,tarjeta_debito,TRUE,Finanzas
USR_424,HBO Max,suscripciones_digitales,27609.45,saldo_billetera,FALSE,Entretenimiento
USR_059,Farmacia Dr Ahorro,farmacia,110175.43,saldo_billetera,TRUE,Salud
USR_290,Cafe Martinez,restaurante,43525.85,tarjeta_debito,FALSE,Alimentacion
USR_199,Steam Games,hobbies_y_deportes,43117.07,transferencia,FALSE,Entretenimiento
USR_289,Swiss Medical,cobertura_medica,110242.05,tarjeta_credito,TRUE,Salud
USR_492,Consorcio Edificio,alquiler_y_expensas,101114.07,saldo_billetera,TRUE,Hogar
USR_452,Burger King,restaurante,8534.83,tarjeta_debito,FALSE,Alimentacion
USR_127,Spotify,suscripciones_digitales,80220.1,tarjeta_credito,FALSE,Entretenimiento
USR_205,MercadoPago Transferencia,transferencias,2863.88,transferencia,FALSE,Finanzas
USR_425,Centro Medico,atencion_medica,31525.27,tarjeta_debito,TRUE,Salud
USR_156,HBO Max,suscripciones_digitales,49678.61,tarjeta_debito,FALSE,Entretenimiento
USR_422,Transferencia a Juan,transferencias,65704.22,saldo_billetera,FALSE,Finanzas
USR_451,Hospital Italiano,atencion_medica,93393.82,tarjeta_credito,TRUE,Salud
USR_169,Metrovias,transporte_publico,50700.58,saldo_billetera,TRUE,Transporte
USR_065,Laboratorio,atencion_medica,42050.31,tarjeta_credito,TRUE,Salud
USR_293,Barberia,cuidado_personal,74336.07,saldo_billetera,FALSE,Entretenimiento
USR_260,Galeno,cobertura_medica,51966.17,saldo_billetera,TRUE,Salud
USR_231,HBO Max,suscripciones_digitales,65428.54,tarjeta_debito,FALSE,Entretenimiento
USR_360,Taller Mecanico,mantenimiento_vehicular,8068.98,transferencia,TRUE,Transporte
USR_415,Montagne,hobbies_y_deportes,42126.32,tarjeta_credito,FALSE,Entretenimiento
USR_005,Peluqueria Estilos,cuidado_personal,92486.81,transferencia,FALSE,Entretenimiento
USR_160,Centro Medico,atencion_medica,59985.11,efectivo,TRUE,Salud
USR_080,Taller Mecanico,mantenimiento_vehicular,10387.37,transferencia,TRUE,Transporte
USR_157,Centro Medico,atencion_medica,19194.89,transferencia,TRUE,Salud
USR_219,Shell,combustible,76611.4,efectivo,TRUE,Transporte
USR_328,AFIP,impuestos,101250.7,transferencia,TRUE,Finanzas
USR_134,Farmacity,farmacia,29910.34,efectivo,TRUE,Salud
USR_209,Burger King,restaurante,113952.13,transferencia,FALSE,Alimentacion
USR_180,Transferencia a Juan,transferencias,38511.9,tarjeta_credito,FALSE,Finanzas
USR_313,Swiss Medical,cobertura_medica,70561.89,saldo_billetera,TRUE,Salud
USR_243,Rappi,delivery,57705.74,tarjeta_debito,FALSE,Alimentacion
USR_257,Spotify,suscripciones_digitales,44337.16,tarjeta_credito,FALSE,Entretenimiento
USR_189,Sodimac,mantenimiento_y_muebles,111583.66,transferencia,FALSE,Hogar
USR_085,Hospital Italiano,atencion_medica,45080.82,saldo_billetera,TRUE,Salud
USR_290,Centro de Estetica,cuidado_personal,21047.89,efectivo,FALSE,Entretenimiento
USR_168,Transferencia a Juan,transferencias,45300.61,saldo_billetera,FALSE,Finanzas
USR_094,AGIP,impuestos,25732.89,saldo_billetera,TRUE,Finanzas
USR_494,Transferencia a Juan,transferencias,28093.04,tarjeta_debito,FALSE,Finanzas
USR_050,Telepase,peajes,109242.9,saldo_billetera,TRUE,Transporte
USR_298,Axion,combustible,37977.09,saldo_billetera,TRUE,Transporte
USR_054,Consorcio Edificio,alquiler_y_expensas,113502.87,transferencia,TRUE,Hogar
USR_142,Envio de dinero,transferencias,112950.15,transferencia,FALSE,Finanzas
USR_416,Montagne,hobbies_y_deportes,68927.74,tarjeta_debito,FALSE,Entretenimiento
USR_270,Farmacity,farmacia,58530.85,transferencia,TRUE,Salud
USR_103,Rappi,delivery,62122.24,transferencia,FALSE,Alimentacion
USR_074,Autopistas del Sol,peajes,21065.07,saldo_billetera,TRUE,Transporte
USR_102,Amazon Prime,suscripciones_digitales,45571.75,saldo_billetera,FALSE,Entretenimiento
USR_253,Taxi Premium,taxi_y_apps,21245.21,transferencia,FALSE,Transporte
USR_144,Netflix,suscripciones_digitales,40477.7,tarjeta_credito,FALSE,Entretenimiento
USR_189,Neumaticos,mantenimiento_vehicular,50409.31,saldo_billetera,TRUE,Transporte
USR_167,Steam Games,hobbies_y_deportes,67800.04,transferencia,FALSE,Entretenimiento
USR_418,Jumbo,supermercado,101685.29,saldo_billetera,TRUE,Alimentacion
USR_212,Vantage,farmacia,112705.92,transferencia,TRUE,Salud
USR_067,Polleria,carniceria_y_granja,54120.1,tarjeta_debito,TRUE,Alimentacion
USR_114,Uber,taxi_y_apps,71976.53,transferencia,FALSE,Transporte
USR_271,HBO Max,suscripciones_digitales,48248.1,efectivo,FALSE,Entretenimiento
USR_312,Centro de Estetica,cuidado_personal,78646.79,saldo_billetera,FALSE,Entretenimiento
USR_191,Chino El Sol,supermercado,31991.63,efectivo,TRUE,Alimentacion
USR_373,Mastercard,pago_tarjetas,63784.65,efectivo,TRUE,Finanzas
USR_395,Inmobiliaria Sur,alquiler_y_expensas,65078,tarjeta_credito,TRUE,Hogar
USR_288,Metrogas,servicios_basicos,7329.87,saldo_billetera,TRUE,Hogar
USR_225,Swiss Medical,cobertura_medica,103270.32,efectivo,TRUE,Salud
USR_048,Metrovias,transporte_publico,29454.05,efectivo,TRUE,Transporte
USR_006,Movistar,servicios_basicos,6170.65,tarjeta_credito,TRUE,Hogar
USR_090,Pizzeria La Continental,restaurante,7896.67,tarjeta_credito,FALSE,Alimentacion
USR_437,Steam Games,hobbies_y_deportes,58286.08,efectivo,FALSE,Entretenimiento
USR_035,Axion,combustible,27705.7,tarjeta_credito,TRUE,Transporte
USR_145,Edenor,servicios_basicos,21003.68,saldo_billetera,TRUE,Hogar
USR_149,Rappi,delivery,93156.59,efectivo,FALSE,Alimentacion
USR_044,Zara,indumentaria,107220.91,efectivo,FALSE,Entretenimiento
USR_427,AySA,servicios_basicos,48462.28,saldo_billetera,TRUE,Hogar
USR_087,OSDE,cobertura_medica,118828.36,tarjeta_debito,TRUE,Salud
USR_250,Canchas de Futbol,hobbies_y_deportes,43079.99,tarjeta_debito,FALSE,Entretenimiento
USR_167,Levis,indumentaria,40505.82,transferencia,FALSE,Entretenimiento
USR_285,Burger King,restaurante,41441.92,transferencia,FALSE,Alimentacion
USR_055,Vantage,farmacia,48879.43,transferencia,TRUE,Salud
USR_082,Rappi,delivery,36609.98,tarjeta_debito,FALSE,Alimentacion
USR_221,Chino El Sol,supermercado,82040.16,transferencia,TRUE,Alimentacion
USR_084,Rappi,delivery,23573.03,efectivo,FALSE,Alimentacion
USR_421,Ferreteria El Clavo,mantenimiento_y_muebles,60810.8,efectivo,FALSE,Hogar
USR_224,ARBA,impuestos,40400.77,saldo_billetera,TRUE,Finanzas
USR_367,Visa Pago Tarjeta,pago_tarjetas,18646.74,transferencia,TRUE,Finanzas
USR_331,MercadoPago Transferencia,transferencias,42780.16,efectivo,FALSE,Finanzas
USR_266,Antares,restaurante,46818.49,saldo_billetera,FALSE,Alimentacion
USR_237,Movistar,servicios_basicos,12196.18,tarjeta_debito,TRUE,Hogar
USR_434,Coto,supermercado,75060.58,tarjeta_credito,TRUE,Alimentacion
USR_317,Peluqueria Estilos,cuidado_personal,27466.59,transferencia,FALSE,Entretenimiento
USR_159,Vantage,farmacia,61421.14,transferencia,TRUE,Salud
