id_cliente,ingreso_mensual_fijo,ingreso_mensual_variable,ingreso_mensual,gastos_esenciales_mensuales,gastos_no_esenciales_mensuales,gastos_totales_del_mes,cuotas_mensuales_deuda,ahorro_mensual,ahorro_total,ratio_ahorro_neto,ratio_endeudamiento_dti,gastos_esenciales_ratio,gastos_estilo_vida_ratio,meses_supervivencia,frecuencia_transacciones_ocio,perfil_financiero
14,2421598.39,0.0,2421598.39,1460609.15,789312.86,2249922.01,258971.41,-87295.03,0.0,-36,1.069,6.032,3.259,0.0,15,Saludable
15,794334.14,352985.23,1147319.37,330506.96,158429.84,488936.8,409863.15,248519.42,2797730.85,2.166,3.572,2.881,1.381,8.46,15,En Observación
16,912649.98,0.0,912649.98,432176.6,309699.58,741876.18,120796.03,49977.77,281888.93,548,1.324,4.735,3.393,0.65,27,Saludable
17,1079454.65,0.0,1079454.65,721401.75,77362.87,798764.62,266546.46,14143.57,162378.79,131,2.469,6.683,717,0.23,12,En Observación
18,718459.6,0.0,718459.6,289631.89,115972.35,405604.24,295130.76,17724.6,121334.29,247,4.108,4.031,1.614,0.42,34,En Riesgo
19,2139260.69,0.0,2139260.69,1509933.39,833195.6,2343128.99,53367.42,-257235.72,0.0,-1.202,249,7.058,3.895,0.0,24,Saludable
20,883446.73,0.0,883446.73,373702.4,193654.17,567356.57,264427.45,51662.71,163249.99,585,2.993,423,2.192,0.44,3,En Observación
21,1574196.64,0.0,1574196.64,942605.86,114705.58,1057311.44,137941.56,378943.64,4877088.36,2.407,876,5.988,729,5.17,11,Saludable
22,450746.93,517091.52,967838.45,379649.47,412917.1,792566.57,82703.06,92568.82,1771613.23,956,855,3.923,4.266,4.67,20,Saludable
23,2356353.77,429715.08,2786068.85,816907.63,580378.09,1397285.72,543282.21,845500.92,1573154.66,3.035,195,2.932,2.083,1.93,36,Saludable
24,2491412.19,127892.59,2619304.78,809680.15,1108761.54,1918441.69,346087.76,354775.33,9937046.35,1.354,1.321,3.091,4.233,12.27,39,Saludable
25,2464477.28,0.0,2464477.28,1151808.98,781597.34,1933406.32,803164.83,-272093.87,0.0,-1.104,3.259,4.674,3.171,0.0,35,En Observación
26,641985.4,126377.79,768363.19,273328.43,249717.15,523045.58,278747.04,-33429.43,0.0,-435,3.628,3.557,325,0.0,17,En Riesgo
27,396990.88,78491.8,475482.68,350848.58,54505.91,405354.49,31512.77,38615.42,1211185.37,812,663,7.379,1.146,3.45,9,Saludable
28,1500298.64,0.0,1500298.64,749407.78,163888.89,913296.67,294416.73,292585.24,10054307.54,195,1.962,4.995,1.092,13.42,13,Saludable
29,1800546.71,0.0,1800546.71,652170.95,493265.91,1145436.86,877531.37,-222421.52,0.0,-1.235,4.874,3.622,274,0.0,11,En Riesgo
30,2239115.65,441938.68,2681054.33,936522.52,1132279.9,2068802.42,322625.4,289626.51,3261560.91,108,1.203,3.493,4.223,3.48,2,Saludable
31,2188905.15,489951.96,2678857.11,1141680.52,460967.95,1602648.47,319592.54,756616.1,9637939.77,2.824,1.193,4.262,1.721,8.44,17,Saludable
32,1072521.48,0.0,1072521.48,598156.89,415563.96,1013720.85,53274.8,5525.83,136886.11,52,497,5.577,3.875,0.23,2,Saludable
33,538485.6,0.0,538485.6,316159.45,94488.57,410648.02,122081.93,5755.65,49502.13,107,2.267,5.871,1.755,0.16,0,En Observación
34,1443824.77,0.0,1443824.77,811594.53,615221.31,1426815.84,588826.9,-571817.97,0.0,-396,4.078,5.621,4.261,0.0,7,En Riesgo
35,1883459.38,185570.8,2069030.18,817340.88,436482.93,1253823.81,838188.09,-22981.72,0.0,-111,4.051,395,211,0.0,39,En Riesgo
36,1552031.56,0.0,1552031.56,1009185.4,266250.98,1275436.38,48931.52,227663.66,3287947.56,1.467,315,6.502,1.715,3.26,32,Saludable
37,1341009.61,0.0,1341009.61,841637.55,158073.6,999711.15,17056.74,324241.72,9324168.4,2.418,127,6.276,1.179,11.08,19,Saludable
38,794209.47,14655.23,808864.7,240156.4,194171.64,434328.04,130165.93,244370.73,1585165.62,3.021,1.609,2.969,2.401,6.6,31,Saludable
39,1179236.3,412573.45,1591809.75,1091338.23,627453.56,1718791.79,424636.04,-551618.08,0.0,-3.465,2.668,6.856,3.942,0.0,35,En Observación
40,848236.22,0.0,848236.22,359547.91,314328.05,673875.96,380741.92,-206381.66,0.0,-2.433,4.489,4.239,3.706,0.0,32,En Riesgo
41,1238829.67,0.0,1238829.67,517271.06,140809.3,658080.36,269458.42,311290.89,3107394.0,2.513,2.175,4.175,1.137,06.01,31,En Observación
42,1678846.56,46490.01,1725336.57,554586.82,273786.83,828373.65,82740.99,814221.93,19034691.0,4.719,48,3.214,1.587,34.32,4,Saludable
43,1212709.37,279554.58,1492263.95,279589.72,571770.58,851360.3,87180.33,553723.32,14362156.38,3.711,584,1.874,3.832,51.37,30,Saludable
44,312971.38,452085.08,765056.46,506519.99,330024.04,836544.03,200542.22,-272029.79,0.0,-3.556,2.621,6.621,4.314,0.0,27,En Observación
45,1368412.39,401324.17,1769736.56,1112961.47,601130.93,1714092.4,223121.04,-167476.88,0.0,-946,1.261,6.289,3.397,0.0,1,Saludable
46,484684.42,0.0,484684.42,324792.27,59466.71,384258.98,18914.06,81511.38,1420785.64,1.682,39,6.701,1.227,4.37,26,Saludable
47,854997.37,11629.97,866627.34,410479.28,389950.35,800429.63,214509.0,-148311.29,0.0,-1.711,2.475,4.737,0.45,0.0,12,En Observación
48,2146303.46,0.0,2146303.46,629139.42,513877.47,1143016.89,36827.17,966459.4,10849299.97,4.503,172,2.931,2.394,17.24,7,Saludable
49,2011142.15,186623.35,2197765.5,1092752.83,926478.74,2019231.57,865538.82,-687004.89,0.0,-3.126,3.938,4.972,4.216,0.0,40,En Riesgo
50,834268.64,0.0,834268.64,276100.88,270055.78,546156.66,100804.01,187307.97,3216477.33,2.245,1.208,3.309,3.237,11.65,4,Saludable
51,1413113.74,509745.38,1922859.12,1237164.77,177317.51,1414482.28,471749.96,36626.88,551489.25,19,2.453,6.434,922,0.45,17,En Observación
52,1655007.18,0.0,1655007.18,1017473.37,390498.13,1407971.5,204989.5,42046.18,779550.96,254,1.239,6.148,2.359,0.77,28,Saludable
53,836499.57,0.0,836499.57,431800.26,168634.73,600434.99,3601.13,232463.45,4048181.22,2.779,43,5.162,2.016,9.38,38,Saludable
54,1842604.25,6090.67,1848694.92,1328911.32,155743.65,1484654.97,412788.95,-48749.0,0.0,-264,2.233,7.188,842,0.0,1,En Observación
55,504717.37,415072.29,919789.66,306955.53,259953.01,566908.54,211218.92,141662.2,1573228.27,154,2.296,3.337,2.826,5.13,17,En Observación
56,974570.58,432770.6,1407341.18,477551.35,488561.9,966113.25,356795.52,84432.41,698092.41,0.06,2.535,3.393,3.472,1.46,33,En Observación
57,1612939.63,0.0,1612939.63,1047728.52,271778.05,1319506.57,87311.91,206121.15,117897.09,1.278,541,6.496,1.685,0.11,18,Saludable
58,1834318.26,521076.72,2355394.98,1047037.17,940009.62,1987046.79,202822.2,165525.99,351141.59,703,861,4.445,3.991,0.34,30,Saludable
59,550991.71,295047.94,846039.65,419815.61,274607.89,694423.5,19255.06,132361.09,948783.29,1.564,228,4.962,3.246,2.26,26,Saludable
60,1633898.83,0.0,1633898.83,466334.79,423227.2,889561.99,841525.98,-97189.14,0.0,-595,515,2.854,259,0.0,39,En Riesgo
61,2412239.31,457642.26,2869881.57,1507574.67,447295.29,1954869.96,34949.76,880061.85,11912944.04,3.067,122,5.253,1.559,7.9,30,Saludable
62,940770.44,424173.5,1364943.94,780464.76,316138.12,1096602.88,393904.61,-125563.55,0.0,-92,2.886,5.718,2.316,0.0,27,En Observación
63,552507.87,89393.64,641901.51,198591.16,68615.75,267206.91,172603.65,202090.95,4659435.88,3.148,2.689,3.094,1.069,23.46,29,En Observación
64,1815091.58,0.0,1815091.58,1298889.96,454115.71,1753005.67,134442.53,-72356.62,0.0,-399,741,7.156,2.502,0.0,5,Saludable
65,803633.71,0.0,803633.71,535469.28,228914.4,764383.68,212733.14,-173483.11,0.0,-2.159,2.647,6.663,2.848,0.0,33,En Observación
66,1733320.88,0.0,1733320.88,448745.49,492491.67,941237.16,165042.84,627040.88,6795010.67,3.618,952,2.589,2.841,15.14,10,Saludable
67,1025568.06,0.0,1025568.06,331187.39,439022.52,770209.91,125155.1,130203.05,1777680.51,127,122,3.229,4.281,5.37,25,Saludable
68,2202803.28,0.0,2202803.28,331941.84,876158.38,1208100.22,348330.63,646372.43,8094655.75,2.934,1.581,1.507,3.977,24.39,3,Saludable
69,747828.12,0.0,747828.12,528418.08,168445.62,696863.7,125795.09,-74830.67,0.0,-1.001,1.682,7.066,2.252,0.0,35,Saludable
70,330083.82,0.0,330083.82,94014.6,127597.95,221612.55,5617.75,102853.52,1943120.4,3.116,17,2.848,3.866,20.67,17,Saludable
71,1214078.75,0.0,1214078.75,526099.01,282533.84,808632.85,216824.21,188621.69,336322.1,1.554,1.786,4.333,2.327,0.64,26,Saludable
72,1047725.53,0.0,1047725.53,325113.0,53461.35,378574.35,288775.57,380375.61,8316350.51,363,2.756,3.103,51,25.58,30,En Observación
73,1059272.67,0.0,1059272.67,504275.27,245897.28,750172.55,188866.05,120234.07,1008925.89,1.135,1.783,4.761,2.321,2.0,2,Saludable
74,999987.92,0.0,999987.92,698049.67,202490.01,900539.68,148260.31,-48812.07,0.0,-488,1.483,6.981,2.025,0.0,37,Saludable
75,1030388.35,507023.65,1537412.0,322590.58,636760.18,959350.76,795969.3,-217908.06,0.0,-1.417,5.177,2.098,4.142,0.0,16,En Riesgo
76,1044834.71,0.0,1044834.71,564108.34,408223.31,972331.65,133583.37,-61080.31,0.0,-585,1.279,5.399,3.907,0.0,34,Saludable
77,378978.02,378696.61,757674.63,532309.96,340173.46,872483.42,162972.57,-277781.36,0.0,-3.666,2.151,7.026,449,0.0,19,En Observación
78,2287532.94,477686.08,2765219.02,901518.55,552868.04,1454386.59,635101.53,675730.9,1534408.68,2.444,2.297,326,1.999,1.7,24,En Observación
79,1663362.81,547697.41,2211060.22,521524.17,518405.1,1039929.27,416340.44,754790.51,22280470.56,3.414,1.883,2.359,2.345,42.72,10,Saludable
80,462496.18,0.0,462496.18,343445.51,78467.89,421913.4,66740.22,-26157.44,0.0,-566,1.443,7.426,1.697,0.0,6,Saludable
81,821852.54,0.0,821852.54,406724.27,367431.22,774155.49,36395.42,11301.63,211192.67,138,443,4.949,4.471,0.52,3,Saludable
82,2303357.3,0.0,2303357.3,1496498.93,947080.56,2443579.49,268021.3,-408243.49,0.0,-1.772,1.164,6.497,4.112,0.0,8,Saludable
83,1682145.83,0.0,1682145.83,904665.37,291975.36,1196640.73,111229.33,374275.77,3867874.33,2.225,661,5.378,1.736,4.28,11,Saludable
84,741748.55,0.0,741748.55,501330.31,145637.14,646967.45,253037.21,-158256.11,0.0,-2.134,3.411,6.759,1.963,0.0,18,En Observación
85,1942430.57,69101.82,2011532.39,1463864.49,213831.54,1677696.03,967656.06,-633819.7,0.0,-3.151,4.811,7.277,1.063,0.0,23,En Riesgo
86,498666.33,158675.15,657341.48,147345.22,129781.73,277126.95,124450.66,255763.87,3103458.41,3.891,1.893,2.242,1.974,21.06,30,Saludable
87,355054.23,0.0,355054.23,172856.17,147738.9,320595.07,179644.6,-145185.44,0.0,-4.089,506,4.868,4.161,0.0,8,En Riesgo
88,399762.98,597556.42,997319.4,219083.43,143534.22,362617.65,391700.07,243001.68,4790062.46,2.437,3.928,2.197,1.439,21.86,37,En Riesgo
89,1932991.83,248930.72,2181922.55,456922.91,536183.06,993105.97,133571.59,1055244.99,19462774.05,4.836,612,2.094,2.457,42.6,23,Saludable
90,518580.17,0.0,518580.17,247196.54,228764.91,475961.45,27900.17,14718.55,318696.32,284,538,4.767,4.411,1.29,13,Saludable
91,1711749.83,0.0,1711749.83,278697.65,624305.69,903003.34,62539.35,746207.14,9998697.01,4.359,365,1.628,3.647,35.88,13,Saludable
92,2088716.56,464621.15,2553337.71,1591204.96,736363.84,2327568.8,106196.45,119572.46,1371250.64,468,416,6.232,2.884,0.86,1,Saludable
93,589967.11,473058.92,1063026.03,535033.49,59861.58,594895.07,42313.89,425817.07,685374.37,4.006,398,5.033,563,1.28,23,Saludable
94,1429123.51,302303.21,1731426.72,1241864.75,116604.69,1358469.44,203415.02,169542.26,2087290.85,979,1.175,7.172,673,1.68,30,Saludable
95,2164056.79,0.0,2164056.79,464789.84,724873.6,1189663.44,143984.11,830409.24,3251432.77,3.837,665,2.148,335,7.0,37,Saludable
96,1506384.15,596776.65,2103160.8,984981.93,486852.63,1471834.56,999936.98,-368610.74,0.0,-1.753,4.754,4.683,2.315,0.0,13,En Riesgo
97,1246153.87,0.0,1246153.87,496328.31,474744.36,971072.67,74531.87,200549.33,2131435.53,1.609,598,3.983,381,4.29,30,Saludable
98,447693.28,0.0,447693.28,92197.09,39677.16,131874.25,121667.54,194151.49,2342083.15,4.337,2.718,2.059,886,25.4,7,En Observación
99,1203778.99,0.0,1203778.99,860314.27,263837.95,1124152.22,165371.01,-85744.24,0.0,-712,1.374,7.147,2.192,0.0,9,Saludable
100,1744819.87,64931.03,1809750.9,1189411.82,356565.12,1545976.94,427309.33,-163535.37,0.0,-904,2.361,6.572,197,0.0,39,En Observación
101,1784948.76,0.0,1784948.76,919957.15,558925.45,1478882.6,275494.31,30571.85,624686.77,171,1.543,5.154,3.131,0.68,11,Saludable
102,2213697.95,0.0,2213697.95,864383.98,236311.95,1100695.93,210247.74,902754.28,8279388.21,4.078,95,3.905,1.067,9.58,23,Saludable
103,985602.21,564844.45,1550446.66,787214.89,625352.31,1412567.2,36182.75,101696.71,1105762.67,656,233,5.077,4.033,1.4,38,Saludable
104,1272497.21,452965.89,1725463.1,376652.21,382993.2,759645.41,434424.91,531392.78,569730.92,308,2.518,2.183,222,1.51,38,En Observación
105,420520.31,567194.45,987714.76,602910.69,351294.94,954205.63,42883.68,-9374.55,0.0,-95,434,6.104,3.557,0.0,14,Saludable
106,1400577.16,0.0,1400577.16,887573.91,110407.78,997981.69,426735.39,-24139.92,0.0,-172,3.047,6.337,788,0.0,36,En Observación
107,1189730.35,0.0,1189730.35,385126.57,252238.21,637364.78,172427.56,379938.01,5901499.34,3.193,1.449,3.237,212,15.32,27,Saludable
108,2157865.59,353322.77,2511188.36,1166139.44,523097.31,1689236.75,116873.68,705077.93,5216999.33,2.808,465,4.644,2.083,4.47,32,Saludable
109,726588.15,0.0,726588.15,262051.17,314822.9,576874.07,70345.68,79368.4,216923.9,1.092,968,3.607,4.333,0.83,4,Saludable
110,689721.48,0.0,689721.48,307940.1,242629.07,550569.17,149901.16,-10748.85,0.0,-156,2.173,4.465,3.518,0.0,40,En Observación
111,995505.57,0.0,995505.57,429413.97,301194.24,730608.21,118912.59,145984.77,810133.78,1.466,1.194,4.314,3.026,1.89,23,Saludable
112,2129732.59,518550.02,2648282.61,1756277.53,783900.54,2540178.07,581051.08,-472946.54,0.0,-1.786,2.194,6.632,296,0.0,36,En Observación
113,1734042.4,285377.42,2019419.82,485704.08,150950.58,636654.66,575270.16,807495.0,6677997.08,3.999,2.849,2.405,747,13.75,15,En Observación
114,1856767.75,0.0,1856767.75,862359.32,545745.19,1408104.51,534174.48,-85511.24,0.0,-461,2.877,4.644,2.939,0.0,40,En Observación
115,1724071.79,56703.57,1780775.36,991941.04,291439.54,1283380.58,937730.79,-440336.01,0.0,-2.473,5.266,557,1.637,0.0,9,En Riesgo
116,2316842.2,393632.83,2710475.03,1483391.74,275331.85,1758723.59,441015.57,510735.87,2506492.39,1.884,1.627,5.473,1.016,1.69,33,Saludable
117,505596.52,0.0,505596.52,230093.48,28966.74,259060.22,147975.66,98560.64,817509.32,1.949,2.927,4.551,573,3.55,9,En Observación
118,469763.19,0.0,469763.19,98971.8,168339.59,267311.39,58846.28,143605.52,1655750.93,3.057,1.253,2.107,3.583,16.73,24,Saludable
119,639356.07,415707.38,1055063.45,553744.03,433696.91,987440.94,165174.26,-97551.75,0.0,-925,1.566,5.248,4.111,0.0,28,Saludable
120,814806.48,579357.98,1394164.46,865249.34,573823.78,1439073.12,40573.57,-85482.23,0.0,-613,291,6.206,4.116,0.0,32,Saludable
121,1460411.53,0.0,1460411.53,934860.16,541087.86,1475948.02,672219.77,-687756.26,0.0,-4.709,4.603,6.401,3.705,0.0,33,En Riesgo
122,2172565.31,457870.1,2630435.41,825101.25,1084061.57,1909162.82,58138.67,663133.92,6619342.43,2.521,221,3.137,4.121,08.02,1,Saludable
123,1212773.19,224376.89,1437150.08,548559.71,118769.21,667328.92,284272.21,485548.95,2528607.34,3.379,1.978,3.817,826,4.61,2,Saludable
124,931134.67,0.0,931134.67,528552.26,98250.61,626802.87,98542.38,205789.42,1993572.33,221,1.058,5.676,1.055,3.77,35,Saludable
125,2368497.09,0.0,2368497.09,956761.16,853769.9,1810531.06,398564.18,159401.85,1274217.51,673,1.683,404,3.605,1.33,31,Saludable
126,1612825.89,309225.44,1922051.33,567318.21,206487.39,773805.6,123752.88,1024492.85,9238983.47,533,644,2.952,1.074,16.29,23,Saludable
127,448894.51,0.0,448894.51,203976.15,199907.36,403883.51,93625.06,-48614.06,0.0,-1.083,2.086,4.544,4.453,0.0,1,En Observación
128,1085606.53,144675.55,1230282.08,669596.57,112528.42,782124.99,107385.78,340771.31,3648669.51,277,873,5.443,915,5.45,29,Saludable
129,2457802.21,0.0,2457802.21,637472.29,255466.5,892938.79,263984.57,1300878.85,40650518.21,5.293,1.074,2.594,1.039,63.77,20,Saludable
130,2353416.16,0.0,2353416.16,1749702.84,628861.7,2378564.54,89422.91,-114571.29,0.0,-487,38,7.435,2.672,0.0,21,Saludable
131,901076.53,0.0,901076.53,371397.46,189233.92,560631.38,59435.45,281009.7,4415046.49,3.119,66,4.122,0.21,11.89,33,Saludable
132,886785.53,254699.8,1141485.33,466141.85,511430.25,977572.1,30898.26,133014.97,992853.01,1.165,271,4.084,448,2.13,27,Saludable
133,666618.5,0.0,666618.5,278831.72,227134.09,505965.81,161473.48,-820.79,0.0,-12,2.422,4.183,3.407,0.0,40,En Observación
134,1193662.51,0.0,1193662.51,716124.44,136071.19,852195.63,5575.71,335891.17,782112.72,2.814,47,5.999,114,01.09,23,Saludable
135,1096731.28,0.0,1096731.28,185820.49,122148.74,307969.23,74016.62,714745.43,2232999.71,6.517,675,1.694,1.114,12.02,20,Saludable
136,1729033.62,68069.17,1797102.79,1062815.42,448588.46,1511403.88,104318.42,181380.49,3487301.24,1.009,58,5.914,2.496,3.28,18,Saludable
137,1826757.41,0.0,1826757.41,493419.97,190515.03,683935.0,873815.66,269006.75,9189891.64,1.473,4.783,2.701,1.043,18.62,20,En Riesgo
138,1769247.54,0.0,1769247.54,849235.79,293951.48,1143187.27,307187.0,318873.27,1249727.22,1.802,1.736,0.48,1.661,1.47,14,Saludable
139,566997.4,83326.12,650323.52,405947.44,39353.42,445300.86,133535.27,71487.39,594664.11,1.099,2.053,6.242,605,1.46,19,En Observación
140,1175951.96,0.0,1175951.96,514125.1,252027.73,766152.83,72221.12,337578.01,648269.46,2.871,614,4.372,2.143,1.26,33,Saludable
141,1057932.52,0.0,1057932.52,653969.19,323640.15,977609.34,431799.99,-351476.81,0.0,-3.322,4.082,6.182,3.059,0.0,9,En Riesgo
142,969073.99,560842.7,1529916.69,436457.95,656323.94,1092781.89,119080.56,318054.24,5989813.85,2.079,778,2.853,429,13.72,40,Saludable
143,966214.13,0.0,966214.13,436288.08,113486.06,549774.14,167279.82,249160.17,5744279.4,2.579,1.731,4.515,1.175,13.17,36,Saludable
144,390627.47,0.0,390627.47,77630.85,167742.76,245373.61,74101.4,71152.46,518139.19,1.821,1.897,1.987,4.294,6.67,40,Saludable
145,1500270.46,0.0,1500270.46,496974.29,221966.76,718941.05,316427.86,464901.55,1783363.73,3.099,2.109,3.313,148,3.59,29,En Observación
146,748850.63,0.0,748850.63,252774.16,252621.13,505395.29,82470.89,160984.45,1729735.93,215,1.101,3.375,3.373,6.84,20,Saludable
147,831823.29,269757.61,1101580.9,258350.0,77377.37,335727.37,445626.58,320226.95,10736209.46,2.907,4.045,2.345,702,41.56,36,En Riesgo
148,1886482.54,95605.45,1982087.99,1481772.6,469211.85,1950984.45,261360.8,-230257.26,0.0,-1.162,1.319,7.476,2.367,0.0,37,Saludable
149,1076369.2,296936.52,1373305.72,933028.97,428064.91,1361093.88,96938.94,-84727.1,0.0,-617,706,6.794,3.117,0.0,25,Saludable
150,1105062.18,0.0,1105062.18,543877.33,141295.59,685172.92,177947.9,241941.36,2899682.4,2.189,161,4.922,1.279,5.33,39,Saludable
151,561384.24,0.0,561384.24,216886.44,206566.32,423452.76,28553.57,109377.91,1503682.99,1.948,509,3.863,368,6.93,2,Saludable
152,385610.73,0.0,385610.73,243852.33,99384.64,343236.97,129158.48,-86784.72,0.0,-2.251,3.349,6.324,2.577,0.0,39,En Observación
153,1926502.59,201824.07,2128326.66,1376971.23,559613.55,1936584.78,226264.47,-34522.59,0.0,-162,1.063,647,2.629,0.0,37,Saludable
154,976891.23,0.0,976891.23,657701.27,294732.18,952433.45,453177.64,-428719.86,0.0,-4.389,4.639,6.733,3.017,0.0,3,En Riesgo
155,1583751.21,377415.14,1961166.35,1023417.96,757925.78,1781343.74,603828.66,-424006.05,0.0,-2.162,3.079,5.218,3.865,0.0,20,En Observación
156,1221316.66,0.0,1221316.66,332607.28,306218.04,638825.32,269594.44,312896.9,6096221.14,2.562,2.207,2.723,2.507,18.33,35,En Observación
157,1015108.98,0.0,1015108.98,472316.29,178152.68,650468.97,26369.86,338270.15,8920046.15,3.332,26,4.653,1.755,18.89,16,Saludable
158,1642168.48,147911.48,1790079.96,867923.83,250515.99,1118439.82,261238.17,410401.97,6096766.4,2.293,1.459,4.849,1.399,07.02,22,Saludable
159,1533072.7,0.0,1533072.7,893779.28,253134.45,1146913.73,131877.24,254281.73,3146009.37,1.659,86,583,1.651,3.52,9,Saludable
160,938995.83,428484.77,1367480.6,489309.32,310350.33,799659.65,52602.32,515218.63,16034582.59,3.768,385,3.578,227,32.77,8,Saludable
161,540298.48,0.0,540298.48,158615.01,37986.32,196601.33,73360.45,270336.7,2331007.36,5.003,1.358,2.936,703,14.7,8,Saludable
162,311399.18,0.0,311399.18,220302.4,66254.22,286556.62,43675.23,-18832.67,0.0,-605,1.403,7.075,2.128,0.0,3,Saludable
163,2297461.31,344480.01,2641941.32,1244595.75,896270.86,2140866.61,908210.11,-407135.4,0.0,-1.541,3.438,4.711,3.392,0.0,25,En Observación
164,2033513.39,449401.92,2482915.31,1671931.63,411634.56,2083566.19,1119039.36,-719690.24,0.0,-2.899,4.507,6.734,1.658,0.0,34,En Riesgo
165,1453500.78,0.0,1453500.78,335060.95,365824.44,700885.39,394366.86,358248.53,7915586.34,2.465,2.713,2.305,2.517,23.62,0,En Observación
166,1920559.37,0.0,1920559.37,942358.43,677790.56,1620148.99,534725.93,-234315.55,0.0,-122,2.784,4.907,3.529,0.0,6,En Observación
167,706518.64,194161.0,900679.64,269148.52,138987.58,408136.1,31819.38,460724.16,3720334.76,5.115,353,2.988,1.543,13.82,23,Saludable
168,1824090.9,70934.91,1895025.81,633097.43,402061.27,1035158.7,142843.39,717023.72,3408227.09,3.784,754,3.341,2.122,5.38,18,Saludable
169,1108596.59,574416.32,1683012.91,735323.72,390444.64,1125768.36,800247.7,-243003.15,0.0,-1.444,4.755,4.369,232,0.0,13,En Riesgo
170,1976091.16,0.0,1976091.16,1002843.89,721171.06,1724014.95,771557.32,-519481.11,0.0,-2.629,3.904,5.075,3.649,0.0,32,En Riesgo
171,744744.91,0.0,744744.91,185234.66,291786.89,477021.55,49358.78,218364.58,4952999.91,2.932,663,2.487,3.918,26.74,3,Saludable
172,1297551.06,0.0,1297551.06,550264.27,94844.12,645108.39,89993.92,562448.75,16055956.66,4.335,694,4.241,731,29.18,37,Saludable
173,460664.96,0.0,460664.96,262685.41,122751.27,385436.68,4163.65,71064.63,339313.64,1.543,9,5.702,2.665,1.29,8,Saludable
174,1984820.9,0.0,1984820.9,1066897.78,432978.31,1499876.09,1026956.4,-542011.59,0.0,-2.731,5.174,5.375,2.181,0.0,34,En Riesgo
175,592577.57,0.0,592577.57,131066.25,264964.37,396030.62,100206.09,96340.86,3096392.14,1.626,1.691,2.212,4.471,23.62,29,Saludable
176,1781699.69,0.0,1781699.69,835902.52,675877.4,1511779.92,657291.17,-387371.4,0.0,-2.174,3.689,4.692,3.793,0.0,26,En Riesgo
177,1652831.06,0.0,1652831.06,1129585.75,241753.84,1371339.59,395178.06,-113686.59,0.0,-688,2.391,6.834,1.463,0.0,2,En Observación
178,1184983.77,130361.53,1315345.3,878963.9,95464.62,974428.52,254373.99,86542.79,832726.17,658,1.934,6.682,726,0.95,20,Saludable
179,821188.88,0.0,821188.88,608843.67,212277.67,821121.34,157071.33,-157003.79,0.0,-1.912,1.913,7.414,2.585,0.0,27,Saludable
180,1522871.47,206648.9,1729520.37,927005.0,350161.9,1277166.9,136060.43,316293.04,1641781.29,1.829,787,536,2.025,1.77,15,Saludable
181,2168550.05,424546.08,2593096.13,1642637.44,1078459.53,2721096.97,218748.12,-346748.96,0.0,-1.337,844,6.335,4.159,0.0,5,Saludable
182,2328897.43,0.0,2328897.43,478538.11,791438.26,1269976.37,443117.54,615803.52,9089949.64,2.644,1.903,2.055,3.398,19.0,37,Saludable
